Code,AreaName,part,Type,TotalPop,TMales,TFemales,ITotalPop,IMales,IFemales,LTotalPop,LMales,LFemales,LWETotalPop,LWEMales,LWEFemales,BPTotalPop,BPMales,BPFemales,PTotalPop,PMales,PFemales,MTotalPop,MMales,MFemales,STotalPop,SMales,SFemales,SSTotalPop,SSMales,SSFemales,NTDTotalPop,NTDMales,NTDFemales,TDTotalPop,TDMales,TDFemales,GTotalPop,GMales,GFemales,UNTotalPop,UNMales,UNFemales
11, SIKKIM,North Eastern,Urban,153578,80273,73305,30556,13249,17307,123022,67024,55998,3891,1973,1918,19767,10460,9307,25523,13826,11697,20594,11086,9508,19196,10489,8707,14774,7960,6814,78,50,28,847,608,239,18124,10402,7722,228,170,58
12, ARUNACHAL PRADESH,North Eastern,Total,1383727,713912,669815,617722,274044,343678,766005,439868,326137,21651,12529,9122,164976,88788,76188,189369,102518,86851,145848,82535,63313,109304,65757,43547,74205,46020,28185,778,606,172,4394,3573,821,53606,36430,17176,1874,1112,762
12, ARUNACHAL PRADESH,North Eastern,Rural,1066358,546011,520347,530456,236621,293835,535902,309390,226512,16407,9511,6896,130062,70679,59383,144994,79508,65486,103066,58908,44158,66263,40256,26007,43588,28186,15402,412,317,95,2197,1796,401,27668,19476,8192,1245,753,492
12, ARUNACHAL PRADESH,North Eastern,Urban,317369,167901,149468,87266,37423,49843,230103,130478,99625,5244,3018,2226,34914,18109,16805,44375,23010,21365,42782,23627,19155,43041,25501,17540,30617,17834,12783,366,289,77,2197,1777,420,25938,16954,8984,629,359,270
13, NAGALAND,North Eastern,Total,1978502,1024649,953853,636068,300692,335376,1342434,723957,618477,73844,39339,34505,258594,134218,124376,330358,170554,159804,304611,164734,139877,169525,96490,73035,106384,59783,46601,609,323,286,4934,3411,1523,89718,53023,36695,3857,2082,1775
13, NAGALAND,North Eastern,Rural,1407536,725472,682064,510873,241451,269422,896663,484021,412642,52785,27913,24872,195040,101132,93908,245799,126574,119225,204421,111718,92703,96746,56446,40300,56699,32595,24104,402,221,181,2146,1466,680,39983,24521,15462,2642,1435,1207
13, NAGALAND,North Eastern,Urban,570966,299177,271789,125195,59241,65954,445771,239936,205835,21059,11426,9633,63554,33086,30468,84559,43980,40579,100190,53016,47174,72779,40044,32735,49685,27188,22497,207,102,105,2788,1945,843,49735,28502,21233,1215,647,568
14, MANIPUR,North Eastern,Total,2855794,1438586,1417208,947318,398728,548590,1908476,1039858,868618,88391,47433,40958,243566,123662,119904,326953,164889,162064,457032,251129,205903,330216,185952,144264,224577,125578,98999,605,452,153,7971,3662,4309,225620,135082,90538,3545,2019,1526
14, MANIPUR,North Eastern,Rural,2021640,1026884,994756,738781,316750,422031,1282859,710134,572725,64406,35530,28876,182156,92797,89359,250145,127663,122482,321923,180386,141537,216971,125034,91937,137805,79260,58545,270,220,50,3108,1448,1660,103602,66363,37239,2473,1433,1040
14, MANIPUR,North Eastern,Urban,834154,411702,422452,208537,81978,126559,625617,329724,295893,23985,11903,12082,61410,30865,30545,76808,37226,39582,135109,70743,64366,113245,60918,52327,86772,46318,40454,335,232,103,4863,2214,2649,122018,68719,53299,1072,586,486
